Tn,Tavg,RH_avg,ss,ff_avg
24.00,26.20,91.00,3.50,3.00
25.00,27.90,79.00,1.20,3.00
26.00,28.60,79.00,3.50,4.00
25.00,26.30,86.00,0.40,5.00
24.00,26.60,82.00,4.80,4.00
23.00,26.50,84.00,0.40,5.00
23.00,27.60,79.00,2.80,3.00
24.00,26.40,86.00,0.50,5.00
24.00,24.70,93.00,1.00,4.00
23.00,26.60,81.00,0.00,5.00
24.00,27.50,77.00,0.00,4.00
25.00,26.60,82.00,1.70,3.00
23.00,26.80,86.00,2.20,3.00
25.00,27.30,85.00,2.00,4.00
24.00,25.70,92.00,0.00,3.00
23.00,26.30,90.00,0.00,2.00
23.00,25.20,96.00,0.00,3.00
23.00,26.20,90.00,0.00,2.00
24.00,27.80,81.00,5.60,5.00
24.00,27.50,82.00,0.50,2.00
25.00,28.60,78.00,2.20,3.00
26.00,26.80,86.00,0.00,2.00
24.00,26.50,85.00,5.40,3.00
25.00,27.30,84.00,0.00,3.00
25.00,26.00,90.00,0.00,2.00
24.00,27.20,84.00,4.50,3.00
25.00,27.70,80.00,2.50,4.00
25.00,27.20,82.00,0.20,3.00
26.00,28.00,80.00,3.80,3.00
24.00,27.10,84.00,3.00,2.00
25.00,28.20,79.00,5.00,3.00
25.00,28.70,75.00,5.70,2.00
25.00,26.90,88.00,0.80,2.00
25.00,27.00,76.00,8.00,3.00
23.00,29.10,76.00,3.00,2.00
23.00,27.90,80.00,7.50,3.00
24.00,28.60,74.00,0.80,3.00
24.00,27.90,82.00,4.40,2.00
25.00,28.20,78.00,8.00,2.00
26.00,28.80,78.00,6.20,3.00
25.00,28.00,80.00,6.00,3.00
26.00,28.30,79.00,0.80,3.00
24.00,28.50,78.00,3.60,2.00
25.00,27.50,82.00,7.70,3.00
25.00,26.30,88.00,0.00,3.00
25.00,27.90,77.00,7.00,3.00
24.00,28.40,76.00,2.00,3.00
24.00,25.90,87.00,0.00,3.00
23.00,26.50,86.00,0.30,3.00
24.00,26.60,80.00,0.40,3.00
23.00,27.90,82.00,1.50,3.00
24.00,27.60,80.00,5.50,2.00
24.00,27.80,80.00,1.60,3.00
25.00,27.00,84.00,1.30,3.00
25.00,28.30,79.00,1.50,3.00
26.00,29.10,76.00,7.00,3.00
27.00,28.20,82.00,0.30,3.00
25.00,29.10,75.00,1.00,3.00
25.00,29.40,70.00,6.00,3.00
27.00,29.40,72.00,4.00,3.00
27.00,29.60,74.00,3.50,2.00
24.00,29.50,74.00,3.50,3.00
24.00,27.20,82.00,1.00,4.00
24.00,26.90,82.00,1.80,3.00
25.00,28.50,76.00,5.70,2.00
25.00,28.70,76.00,8.00,4.00
25.00,28.20,78.00,2.70,3.00
24.00,28.70,77.00,2.00,3.00
26.00,27.50,77.00,1.20,5.00
26.00,29.60,70.00,6.50,3.00
26.00,28.80,76.00,4.00,3.00
26.00,29.90,68.00,7.80,4.00
25.00,27.70,82.00,3.00,5.00
25.00,28.20,79.00,6.40,3.00
25.00,28.30,80.00,6.30,4.00
