Tn,Tavg,RH_avg,ss,ff_avg
24.80,27.40,85.00,0.00,2.00
24.80,26.40,86.00,1.00,1.00
24.80,26.60,87.00,0.00,0.00
23.60,26.30,81.00,0.00,1.00
24.20,25.90,84.00,0.00,2.00
23.40,26.20,84.00,0.80,1.00
24.00,26.30,87.00,0.60,0.00
24.60,26.20,86.00,0.00,1.00
23.60,26.30,87.00,0.00,1.00
24.20,27.50,81.00,0.70,2.00
25.00,26.60,82.00,0.00,1.00
24.40,26.40,86.00,4.63,1.00
24.00,27.40,83.00,4.63,2.00
24.40,29.60,68.00,2.20,1.00
27.00,29.60,70.00,6.20,2.00
26.60,28.10,76.00,8.00,2.00
26.08,29.00,73.00,3.80,3.00
27.20,30.10,65.00,5.00,1.00
26.20,28.80,73.00,5.00,1.00
26.08,29.10,71.00,0.00,0.00
25.00,29.20,74.00,8.30,1.00
26.80,29.20,72.00,4.50,1.00
26.40,29.80,69.00,6.40,2.00
26.40,28.90,70.00,6.50,1.00
26.00,27.60,77.00,1.20,1.00
26.20,27.70,78.00,0.00,1.00
25.80,27.50,81.00,1.00,2.00
26.00,28.60,72.00,2.40,1.00
25.00,28.60,74.00,3.00,2.00
26.40,29.20,71.00,5.00,2.00
26.00,28.60,70.00,6.00,2.00
26.00,29.10,71.00,3.20,2.00
25.00,27.20,78.00,5.50,1.00
26.20,27.80,79.00,0.00,1.00
26.00,27.60,80.00,2.40,1.00
24.50,25.60,94.00,0.00,0.00
24.00,26.70,86.00,0.00,1.00
25.00,28.00,76.00,0.00,1.00
26.08,27.80,80.00,3.00,1.00
25.40,27.00,85.00,0.00,1.00
24.60,27.20,88.00,0.20,2.00
23.20,26.70,80.00,0.20,1.00
24.00,27.70,83.00,0.10,2.00
26.20,28.40,77.00,1.20,2.00
25.00,29.20,67.00,5.50,2.00
26.40,27.80,78.00,3.00,1.00
26.08,27.10,87.00,2.00,1.00
25.20,27.40,73.00,2.20,1.00
25.00,27.90,77.00,1.50,2.00
25.20,27.50,85.00,6.30,1.00
23.80,25.00,92.00,1.50,2.00
24.20,27.60,78.00,0.00,1.00
24.00,27.30,79.00,0.90,2.00
25.80,28.10,74.00,0.90,1.00
26.20,27.10,82.00,1.80,1.00
25.00,27.00,81.00,1.80,1.00
25.40,27.60,83.00,0.20,2.00
25.80,27.50,82.00,5.20,1.00
26.00,27.50,83.00,4.30,1.00
26.40,28.00,77.00,6.50,1.00
24.40,27.30,84.00,3.00,1.00
24.60,26.90,87.00,3.20,1.00
24.40,25.80,94.00,3.60,1.00
24.60,27.00,86.00,0.00,2.00
24.60,26.70,88.00,0.40,1.00
24.80,27.10,84.00,0.50,1.00
24.80,27.00,84.00,1.50,1.00
24.60,26.70,88.00,1.00,1.00
23.40,25.10,92.00,0.50,0.00
23.80,27.00,84.00,0.00,1.00
24.20,26.80,81.00,2.20,1.00
25.00,26.60,87.00,2.00,0.00
24.00,28.30,71.00,2.40,2.00
25.20,27.70,76.00,5.20,1.00
25.60,26.50,88.00,8.00,1.00
24.80,27.10,83.00,0.50,1.00
24.00,27.80,81.00,6.10,1.00
25.80,28.50,77.00,8.40,1.00
26.60,28.40,80.00,8.00,1.00
25.60,28.40,72.00,2.60,2.00
24.20,27.20,82.00,7.60,1.00
24.40,25.50,90.00,0.00,1.00
24.40,27.40,82.00,0.00,1.00
25.20,28.60,75.00,8.00,2.00
23.80,28.30,78.00,9.10,1.00
26.40,28.70,81.00,8.00,2.00
26.00,28.70,75.00,6.00,1.00
25.60,29.20,69.00,7.60,0.00
25.00,29.10,76.00,7.00,0.00
27.20,29.30,76.00,6.70,1.00
27.20,29.30,78.00,7.00,1.00
27.00,27.90,83.00,5.00,1.00
24.00,26.80,88.00,3.00,1.00
26.08,27.40,84.00,6.50,1.00
26.00,27.30,86.00,3.00,0.00
25.60,27.50,79.00,0.00,1.00
26.08,26.30,92.00,4.63,0.00
25.00,28.80,70.00,4.00,2.00
26.20,28.10,74.00,3.00,2.00
26.00,28.80,76.00,0.30,1.00
24.60,28.10,74.00,6.90,1.00
25.00,28.70,72.00,6.70,1.00
25.80,29.00,69.00,3.20,1.00
26.60,30.30,56.00,9.20,1.00
26.00,28.70,69.00,5.60,1.00
26.60,28.90,74.00,8.00,1.00
27.00,28.87,74.70,7.60,2.00
26.80,29.10,70.00,5.00,2.00
24.80,28.90,75.00,2.90,3.00
27.00,29.60,66.00,5.20,2.00
26.60,29.40,73.00,5.50,1.00
26.50,28.30,79.00,3.40,2.00
25.00,28.30,81.00,5.80,1.00
25.80,28.90,80.00,6.80,1.00
26.80,29.30,76.00,5.50,1.00
26.00,29.10,81.00,7.20,1.00
25.00,29.70,79.00,4.80,1.00
25.60,28.90,80.00,7.60,0.00
26.60,29.20,81.00,3.70,1.00
25.00,29.60,76.00,6.40,1.00
26.60,29.80,76.00,7.00,1.00
27.00,29.50,79.00,7.00,1.00
25.80,28.50,81.00,7.50,0.00
26.40,28.70,80.00,3.20,1.00
27.00,29.60,79.00,7.40,1.00
27.40,29.40,79.00,5.80,1.00
26.00,28.60,83.00,4.70,1.00
25.00,29.60,76.00,3.00,1.00
27.20,28.80,80.00,4.80,0.00
27.40,29.00,84.00,1.40,1.00
27.40,29.80,79.00,3.00,1.00
26.40,29.40,79.00,3.80,1.00
26.00,29.20,80.00,6.60,1.00
26.00,28.80,82.00,3.90,0.00
26.60,28.50,83.00,3.40,1.00
26.40,28.70,78.00,4.70,1.00
